lon lat z
63.25 29.75 94
63.25 30.25 180
63.25 30.75 167.9881439208984
63.25 31.25 238.8320922851562
63.25 31.75 211
63.25 32.25 182.7718505859375
63.25 32.75 220.3293762207031
63.25 33.25 135
63.25 33.75 120
63.25 34.25 117
63.25 34.75 130
63.25 35.25 131.7392578125
63.25 35.75 149.65234375
63.25 36.25 185
63.25 36.75 180
63.25 37.25 196
63.25 37.75 201
63.25 38.25 141
63.25 38.75 50
63.25 39.25 52.9555549621582
63.75 16.25 301.5925903320312
63.75 16.75 209.4370422363281
63.75 17.25 352.5555419921875
63.75 17.75 297.7259216308594
63.75 18.25 365.9703674316406
63.75 18.75 253.6666717529297
63.75 19.25 219.5629577636719
63.75 19.75 61.41481399536133
63.75 20.25 15.80000019073486
63.75 20.75 -24.86080551147461
63.75 21.25 -39.99300765991211
63.75 21.75 -44.17927932739258
63.75 22.25 -29.24570655822754
63.75 22.75 6
63.75 23.25 20
63.75 23.75 77
63.75 24.25 108.3777770996094
63.75 24.75 119
63.75 25.25 101.3333358764648
63.75 25.75 160
63.75 26.25 136
63.75 26.75 133
63.75 27.25 119.4148178100586
63.75 27.75 141.0444488525391
63.75 28.25 196.6666717529297
63.75 28.75 141.4074096679688
63.75 29.25 164.3999938964844
63.75 29.75 199.0518493652344
63.75 30.25 178
63.75 30.75 198.3333282470703
63.75 31.25 261
63.75 31.75 220.2888946533203
63.75 32.25 219
63.75 32.75 141.7851867675781
63.75 33.25 126.9407424926758
63.75 33.75 139.3333282470703
63.75 34.25 100
63.75 34.75 100
63.75 35.25 109
63.75 35.75 159
63.75 36.25 80
63.75 36.75 80
63.75 37.25 40
63.75 37.75 15
63.75 38.25 33
63.75 38.75 25.88888931274414
63.75 39.25 25.71111106872559
64.25 16.25 398.8123474121094
64.25 16.75 356.4222106933594
64.25 17.25 341.1866760253906
64.25 17.75 349.5333251953125
64.25 18.25 359.1906127929688
64.25 18.75 258.8444519042969
64.25 19.25 252.3111114501953
64.25 19.75 288.8597412109375
64.25 20.25 182.0800018310547
64.25 20.75 97.47457122802734
64.25 21.25 -6.87586498260498
64.25 21.75 -80.92314910888672
64.25 22.25 -105.2688903808594
64.25 22.75 -59.34795379638672
64.25 23.25 -33.79623413085938
64.25 23.75 -6.934001445770264
64.25 24.25 40
64.25 24.75 70.15555572509766
64.25 25.25 140
64.25 25.75 84.15555572509766
64.25 26.25 110
64.25 26.75 138
64.25 27.25 122
64.25 27.75 164.7096252441406
64.25 28.25 187.1555480957031
64.25 28.75 184
64.25 29.25 220
64.25 29.75 168
64.25 30.25 230
64.25 30.75 245.2118530273438
64.25 31.25 189
64.25 31.75 162
64.25 32.25 181.7718505859375
64.25 32.75 145.8666687011719
64.25 33.25 127.8444442749023
64.25 33.75 108
64.25 34.25 73
64.25 34.75 59
64.25 35.25 28.92740821838379
64.25 35.75 31.31111145019531
64.25 36.25 -13.33560085296631
64.25 36.75 -13.06167316436768
64.25 37.25 -12.54129123687744
64.25 37.75 -11.63474655151367
64.25 38.25 119
64.25 38.75 120
64.25 39.25 134.1111145019531
64.75 16.25 348.8493957519531
64.75 16.75 400
64.75 17.25 526
64.75 17.75 412.8958129882812
64.75 18.25 316.0558166503906
64.75 18.75 296.34814453125
64.75 19.25 258
64.75 19.75 359.7782592773438
64.75 20.25 250.7288818359375
64.75 20.75 46.0444450378418
64.75 21.25 31.60000038146973
64.75 21.75 -66.41542053222656
64.75 22.25 -103.7875595092773
64.75 22.75 -77.99252319335938
64.75 23.25 -69.01300048828125
64.75 23.75 -38.6090087890625
64.75 24.25 -13.55619716644287
64.75 24.75 20
64.75 25.25 48
64.75 25.75 24
64.75 26.25 67.37777709960938
64.75 26.75 132
64.75 27.25 158
64.75 27.75 175.1555480957031
64.75 28.25 247.0444488525391
64.75 28.75 162.1506195068359
64.75 29.25 209.9866638183594
64.75 29.75 227
64.75 30.25 193.3111114501953
64.75 30.75 172.9555511474609
64.75 31.25 186.9333343505859
64.75 31.75 110
64.75 32.25 108
64.75 32.75 119.9777755737305
64.75 33.25 119
64.75 33.75 93.02222442626953
64.75 34.25 67.04049682617188
64.75 34.75 5.02222204208374
64.75 35.25 -13.29917049407959
64.75 35.75 -8.149932861328125
64.75 36.25 -11.5499439239502
64.75 36.75 87.71259307861328
64.75 37.25 90.75555419921875
64.75 37.75 98.95555877685547
64.75 38.25 -20.78692436218262
64.75 38.75 -0.001345921074971557
64.75 39.25 -21.85980796813965
65.25 16.25 557.95556640625
65.25 16.75 348
65.25 17.25 543.066650390625
65.25 17.75 476.2444458007812
65.25 18.25 364
65.25 18.75 325.7999877929688
65.25 19.25 300
65.25 19.75 326.2000122070312
65.25 20.25 319.7999877929688
65.25 20.75 300.7244567871094
65.25 21.25 61.2661018371582
65.25 21.75 -0.1610161662101746
65.25 22.25 -20.72565269470215
65.25 22.75 -26.31417083740234
65.25 23.25 -71.615966796875
65.25 23.75 -31.77572250366211
65.25 24.25 -12.40601062774658
65.25 24.75 -4.695065021514893
65.25 25.25 -0.835904061794281
65.25 25.75 48
65.25 26.25 119
65.25 26.75 109.60888671875
65.25 27.25 120
65.25 27.75 207.2266693115234
65.25 28.25 253.8000030517578
65.25 28.75 258
65.25 29.25 213.8000030517578
65.25 29.75 240.0311126708984
65.25 30.25 168.5111083984375
65.25 30.75 141.6666717529297
65.25 31.25 141.7111053466797
65.25 31.75 140
65.25 32.25 140
65.25 32.75 138.0711059570312
65.25 33.25 110
65.25 33.75 90.5999984741211
65.25 34.25 43.20000076293945
65.25 34.75 -8.91830825805664
65.25 35.25 -51.58598709106445
65.25 35.75 -48.53288269042969
65.25 36.25 -68.25792694091797
65.25 36.75 -49.00160980224609
65.25 37.25 -77.1311264038086
65.25 37.75 -98.78807067871094
65.25 38.25 -101.4075546264648
65.25 38.75 -99.3734359741211
65.25 39.25 -66.66082763671875
65.75 16.25 584.6271362304688
65.75 16.75 615.2888793945312
65.75 17.25 403.3777770996094
65.75 17.75 495.8286437988281
65.75 18.25 420
65.75 18.75 520.5481567382812
65.75 19.25 436
65.75 19.75 335.3777770996094
65.75 20.25 261
65.75 20.75 292.6222229003906
65.75 21.25 96.65428924560547
65.75 21.75 0
65.75 22.25 48.61756134033203
65.75 22.75 26.0775318145752
65.75 23.25 0.6222222447395325
65.75 23.75 0
65.75 24.25 1
65.75 24.75 28
65.75 25.25 44.37777709960938
65.75 25.75 106
65.75 26.25 138.6222229003906
65.75 26.75 128.1846923828125
65.75 27.25 204.9841918945312
65.75 27.75 278.0726013183594
65.75 28.25 328.8113708496094
65.75 28.75 273.7654418945312
65.75 29.25 263.7555541992188
65.75 29.75 259.04443359375
65.75 30.25 305.1333312988281
65.75 30.75 203.1111145019531
65.75 31.25 119.9160461425781
65.75 31.75 109
65.75 32.25 115.0459289550781
65.75 32.75 88
65.75 33.25 80
65.75 33.75 79
65.75 34.25 47.24444580078125
65.75 34.75 0
65.75 35.25 -57.17813873291016
65.75 35.75 -166.1466217041016
65.75 36.25 -211.5874786376953
65.75 36.75 -192.0027465820312
65.75 37.25 -129.5011138916016
65.75 37.75 -106.4527740478516
65.75 38.25 -88.08285522460938
65.75 38.75 -69.09497833251953
65.75 39.25 -55.30557632446289
66.25 16.25 750.2222290039062
66.25 16.75 468.5555419921875
66.25 17.25 443.4444580078125
66.25 17.75 543.4716186523438
66.25 18.25 627.6221923828125
66.25 18.75 470
66.25 19.25 590
66.25 19.75 521.8765258789062
66.25 20.25 259
66.25 20.75 193.6123504638672
66.25 21.25 232.6419677734375
66.25 21.75 51
66.25 22.25 256.8271484375
66.25 22.75 93.88888549804688
66.25 23.25 126.1481475830078
66.25 23.75 67.55555725097656
66.25 24.25 107.9333343505859
66.25 24.75 76.11111450195312
66.25 25.25 73.44866180419922
66.25 25.75 113.3325729370117
66.25 26.25 198.5258636474609
66.25 26.75 166
66.25 27.25 185.6222229003906
66.25 27.75 309.0740661621094
66.25 28.25 250
66.25 28.75 260.3456726074219
66.25 29.25 249
66.25 29.75 146.7555541992188
66.25 30.25 316
66.25 30.75 113.9703674316406
66.25 31.25 109.3950653076172
66.25 31.75 112
66.25 32.25 132.5555572509766
66.25 32.75 75.6395034790039
66.25 33.25 54.0987663269043
66.25 33.75 41.22222137451172
66.25 34.25 -135.2192840576172
66.25 34.75 -211.3034057617188
66.25 35.25 -176.6111907958984
66.25 35.75 -99.37379455566406
66.25 36.25 -36.19727325439453
66.25 36.75 -10.16912746429443
66.25 37.25 45
66.25 37.75 114
66.25 38.25 140.1777801513672
66.25 38.75 126
66.25 39.25 125
66.75 16.25 1024.244384765625
66.75 16.75 1470.367431640625
66.75 17.25 474
66.75 17.75 700.9215087890625
66.75 18.25 422
66.75 18.75 515.066650390625
66.75 19.25 282
66.75 19.75 401.3836975097656
66.75 20.25 365.4800109863281
66.75 20.75 377
66.75 21.25 395.7481384277344
66.75 21.75 323.6755676269531
66.75 22.25 248.3985137939453
66.75 22.75 173.1333312988281
66.75 23.25 179
66.75 23.75 173.6296234130859
66.75 24.25 118.2666702270508
66.75 24.75 121.533332824707
66.75 25.25 164.3331909179688
66.75 25.75 143.7662963867188
66.75 26.25 139.5015869140625
66.75 26.75 241.3363037109375
66.75 27.25 240
66.75 27.75 179.7333374023438
66.75 28.25 211.6888885498047
66.75 28.75 239.7333374023438
66.75 29.25 319.1199951171875
66.75 29.75 285.5303649902344
66.75 30.25 172.7333374023438
66.75 30.75 114.2355575561523
66.75 31.25 196.9037017822266
66.75 31.75 37
66.75 32.25 78.87555694580078
66.75 32.75 1.466666698455811
66.75 33.25 -50.14964294433594
66.75 33.75 -7.603887557983398
66.75 34.25 41
66.75 34.75 113.533332824707
66.75 35.25 116
66.75 35.75 127.2118530273438
66.75 36.25 136.7629699707031
66.75 36.75 148
66.75 37.25 168
66.75 37.75 165.5333404541016
66.75 38.25 194.2933349609375
66.75 38.75 252.0370330810547
66.75 39.25 206.2548217773438
67.25 16.25 926
67.25 16.75 829.8809814453125
67.25 17.25 1200.635498046875
67.25 17.75 911.195068359375
67.25 18.25 1049.9990234375
67.25 18.75 969.1629638671875
67.25 19.25 556.933349609375
67.25 19.75 471.2888793945312
67.25 20.25 447.0888977050781
67.25 20.75 592.7333374023438
67.25 21.25 432.1160583496094
67.25 21.75 446.8459167480469
67.25 22.25 218.1698760986328
67.25 22.75 177.0888824462891
67.25 23.25 160
67.25 23.75 146
67.25 24.25 203
67.25 24.75 179.1822204589844
67.25 25.25 187.1111145019531
67.25 25.75 268.0666809082031
67.25 26.25 255.0888824462891
67.25 26.75 176
67.25 27.25 169
67.25 27.75 269.7777709960938
67.25 28.25 183.9555511474609
67.25 28.75 214.9111175537109
67.25 29.25 234.0888824462891
67.25 29.75 260
67.25 30.25 260
67.25 30.75 261.2222290039062
67.25 31.25 420.8888854980469
67.25 31.75 377.9965515136719
67.25 32.25 155.7525939941406
67.25 32.75 153.9965362548828
67.25 33.25 207.5555572509766
67.25 33.75 80.9111099243164
67.25 34.25 122.8222198486328
67.25 34.75 217
67.25 35.25 148
67.25 35.75 261.6478881835938
67.25 36.25 231
67.25 36.75 168.0829620361328
67.25 37.25 152.0888824462891
67.25 37.75 195.8444519042969
67.25 38.25 212.3999938964844
67.25 38.75 236.1777801513672
67.25 39.25 187.3777770996094
67.75 16.25 949.3555297851562
67.75 16.75 873.545166015625
67.75 17.25 439
67.75 17.75 647.3165283203125
67.75 18.25 922.889892578125
67.75 18.75 978.022216796875
67.75 19.25 704.1195068359375
67.75 19.75 701.8666381835938
67.75 20.25 449.0888977050781
67.75 20.75 400
67.75 21.25 283.0888977050781
67.75 21.75 314
67.75 22.25 310.9111022949219
67.75 22.75 310.0888977050781
67.75 23.25 221
67.75 23.75 266.8716125488281
67.75 24.25 393.1555480957031
67.75 24.75 198.2711181640625
67.75 25.25 199.0869140625
67.75 25.75 274.1693725585938
67.75 26.25 282.1185302734375
67.75 26.75 210
67.75 27.25 220
67.75 27.75 289.95556640625
67.75 28.25 297.4666748046875
67.75 28.75 249.3999938964844
67.75 29.25 230.9111175537109
67.75 29.75 393.8888854980469
67.75 30.25 141.8444519042969
67.75 30.75 184.9392547607422
67.75 31.25 223.6444396972656
67.75 31.75 252.5333404541016
67.75 32.25 192.0888824462891
67.75 32.75 351.3777770996094
67.75 33.25 474.3841857910156
67.75 33.75 695.022216796875
67.75 34.25 149
67.75 34.75 895.6666870117188
67.75 35.25 232.1777801513672
67.75 35.75 276.0888977050781
67.75 36.25 198
67.75 36.75 216.0888824462891
67.75 37.25 274.2888793945312
67.75 37.75 240.0375366210938
67.75 38.25 226.1777801513672
67.75 38.75 175.8864135742188
67.75 39.25 248.9515991210938
68.25 16.25 -28.84703254699707
68.25 16.75 200.1985168457031
68.25 17.25 1036.30224609375
68.25 17.75 1338.4296875
68.25 18.25 976.0947875976562
68.25 18.75 1048.022216796875
68.25 19.25 1026.48291015625
68.25 19.75 343.9674072265625
68.25 20.25 497.8800048828125
68.25 20.75 574
